시군구명,기준년월코드,기준분기코드,총직장인구수,남성직장인구수,여성직장인구수,연령대10직장인구수,연령대20직장인구수,연령대30직장인구수,연령대40직장인구수,연령대50직장인구수,연령대60이상직장인구수,남성연령대10직장인구수,남성연령대20직장인구수,남성연령대30직장인구수,남성연령대40직장인구수,남성연령대50직장인구수,남성연령대60이상직장인구수,여성연령대10직장인구수,여성연령대20직장인구수,여성연령대30직장인구수,여성연령대40직장인구수,여성연령대50직장인구수,여성연령대60이상직장인구수
강북구,2015,2,14798,7643,7155,39,1650,3326,3974,3762,2047,18,521,1625,2076,2126,1277,21,1129,1701,1898,1636,770
강북구,2015,3,14798,7643,7155,39,1650,3326,3974,3762,2047,18,521,1625,2076,2126,1277,21,1129,1701,1898,1636,770
강북구,2015,4,15032,7711,7321,60,1764,3339,3967,3805,2097,30,611,1634,2060,2111,1265,30,1153,1705,1907,1694,832
강북구,2016,1,15032,7711,7321,60,1764,3339,3967,3805,2097,30,611,1634,2060,2111,1265,30,1153,1705,1907,1694,832
강북구,2016,2,15098,7700,7398,45,1757,3284,3957,3761,2294,24,588,1640,2005,2081,1362,21,1169,1644,1952,1680,932
강북구,2016,3,15098,7700,7398,45,1757,3284,3957,3761,2294,24,588,1640,2005,2081,1362,21,1169,1644,1952,1680,932
강북구,2016,4,15092,7628,7464,58,1872,3261,3914,3736,2251,33,667,1606,1965,2045,1312,25,1205,1655,1949,1691,939
강북구,2017,1,15092,7628,7464,58,1872,3261,3914,3736,2251,33,667,1606,1965,2045,1312,25,1205,1655,1949,1691,939
강북구,2017,2,15197,7699,7498,43,1778,3202,3891,3819,2464,19,633,1580,1992,2045,1430,24,1145,1622,1899,1774,1034
강북구,2017,3,15197,7699,7498,43,1778,3202,3891,3819,2464,19,633,1580,1992,2045,1430,24,1145,1622,1899,1774,1034
강북구,2017,4,15394,7702,7692,59,1952,3186,3940,3838,2419,21,693,1584,1949,2065,1390,38,1259,1602,1991,1773,1029
강북구,2018,1,15394,7702,7692,59,1952,3186,3940,3838,2419,21,693,1584,1949,2065,1390,38,1259,1602,1991,1773,1029
강북구,2018,2,15457,7754,7703,33,1806,3199,3788,3985,2646,18,670,1566,1868,2124,1508,15,1136,1633,1920,1861,1138
강북구,2018,3,15457,7754,7703,33,1806,3199,3788,3985,2646,18,670,1566,1868,2124,1508,15,1136,1633,1920,1861,1138
강북구,2018,4,15457,7754,7703,33,1806,3199,3788,3985,2646,18,670,1566,1868,2124,1508,15,1136,1633,1920,1861,1138
강북구,2019,1,16241,7655,8586,64,2204,3228,3843,4037,2865,34,776,1551,1748,1899,1647,30,1428,1677,2095,2138,1218
강북구,2019,2,10868,5729,5139,16,1069,1951,2414,2585,2833,11,376,900,1200,1465,1777,5,693,1051,1214,1120,1056
강북구,2019,3,10868,5729,5139,16,1069,1951,2414,2585,2833,11,376,900,1200,1465,1777,5,693,1051,1214,1120,1056
강북구,2019,4,10526,5496,5030,26,1030,1772,2344,2601,2753,19,331,795,1142,1456,1753,7,699,977,1202,1145,1000
강서구,2015,1,28068,16872,11196,170,3979,7022,7266,6270,3361,103,1614,4333,4448,3971,2403,67,2365,2689,2818,2299,958
강서구,2015,2,28498,16934,11564,130,3923,6946,7302,6261,3936,72,1533,4181,4474,3886,2788,58,2390,2765,2828,2375,1148
강서구,2015,3,28498,16934,11564,130,3923,6946,7302,6261,3936,72,1533,4181,4474,3886,2788,58,2390,2765,2828,2375,1148
강서구,2015,4,28148,16519,11629,166,4030,6705,7192,6231,3824,95,1585,3972,4353,3840,2674,71,2445,2733,2839,2391,1150
강서구,2016,1,28148,16519,11629,166,4030,6705,7192,6231,3824,95,1585,3972,4353,3840,2674,71,2445,2733,2839,2391,1150
강서구,2016,2,28879,16810,12069,110,3984,6597,7309,6520,4359,60,1527,3950,4429,3892,2952,50,2457,2647,2880,2628,1407
강서구,2016,3,28879,16810,12069,110,3984,6597,7309,6520,4359,60,1527,3950,4429,3892,2952,50,2457,2647,2880,2628,1407
강서구,2016,4,29558,17191,12367,177,4347,6726,7392,6589,4327,103,1724,4026,4443,3941,2954,74,2623,2700,2949,2648,1373
강서구,2017,1,29558,17191,12367,177,4347,6726,7392,6589,4327,103,1724,4026,4443,3941,2954,74,2623,2700,2949,2648,1373
강서구,2017,2,29701,17352,12349,121,4133,6711,7462,6622,4652,71,1671,4004,4504,3931,3171,50,2462,2707,2958,2691,1481
강서구,2017,3,29701,17352,12349,121,4133,6711,7462,6622,4652,71,1671,4004,4504,3931,3171,50,2462,2707,2958,2691,1481
강서구,2017,4,28389,16472,11917,166,3609,6207,7315,6552,4540,87,1624,3647,4312,3800,3002,79,1985,2560,3003,2752,1538
강서구,2018,1,28389,16472,11917,166,3609,6207,7315,6552,4540,87,1624,3647,4312,3800,3002,79,1985,2560,3003,2752,1538
강서구,2018,2,28802,16517,12285,98,3474,6200,7261,6716,5053,53,1519,3596,4282,3819,3248,45,1955,2604,2979,2897,1805
강서구,2018,3,28802,16517,12285,98,3474,6200,7261,6716,5053,53,1519,3596,4282,3819,3248,45,1955,2604,2979,2897,1805
강서구,2018,4,28802,16517,12285,98,3474,6200,7261,6716,5053,53,1519,3596,4282,3819,3248,45,1955,2604,2979,2897,1805
강서구,2019,1,32654,17706,14948,98,4179,7314,8082,7743,5238,48,1659,3965,4561,4291,3182,50,2520,3349,3521,3452,2056
강서구,2019,2,30199,18490,11709,70,3793,6980,7359,7066,4931,45,1556,4091,4512,4622,3664,25,2237,2889,2847,2444,1267
강서구,2019,3,30199,18490,11709,70,3793,6980,7359,7066,4931,45,1556,4091,4512,4622,3664,25,2237,2889,2847,2444,1267
강서구,2019,4,29416,17937,11479,73,4128,6712,6983,6833,4687,40,1659,3831,4205,4531,3671,33,2469,2881,2778,2302,1016
관악구,2015,1,22762,11913,10849,99,3098,5017,5912,5138,3498,35,1037,2613,3106,2794,2328,64,2061,2404,2806,2344,1170
관악구,2015,2,22722,11847,10875,65,2899,4904,5841,5217,3796,26,931,2541,3114,2779,2456,39,1968,2363,2727,2438,1340
관악구,2015,3,22722,11847,10875,65,2899,4904,5841,5217,3796,26,931,2541,3114,2779,2456,39,1968,2363,2727,2438,1340
관악구,2015,4,22896,11863,11033,108,3096,4936,5897,5234,3625,42,1026,2573,3124,2785,2313,66,2070,2363,2773,2449,1312
관악구,2016,1,22896,11863,11033,108,3096,4936,5897,5234,3625,42,1026,2573,3124,2785,2313,66,2070,2363,2773,2449,1312
관악구,2016,2,23462,12011,11451,68,3070,4927,5907,5524,3966,25,1017,2557,3055,2872,2485,43,2053,2370,2852,2652,1481
관악구,2016,3,23462,12011,11451,68,3070,4927,5907,5524,3966,25,1017,2557,3055,2872,2485,43,2053,2370,2852,2652,1481
관악구,2016,4,22897,11787,11110,91,3093,4799,5750,5405,3759,39,1084,2476,2960,2844,2384,52,2009,2323,2790,2561,1375
관악구,2017,1,22897,11787,11110,91,3093,4799,5750,5405,3759,39,1084,2476,2960,2844,2384,52,2009,2323,2790,2561,1375
관악구,2017,2,22789,11806,10983,48,2974,4715,5595,5411,4046,21,1020,2436,2925,2857,2547,27,1954,2279,2670,2554,1499
관악구,2017,3,22789,11806,10983,48,2974,4715,5595,5411,4046,21,1020,2436,2925,2857,2547,27,1954,2279,2670,2554,1499
관악구,2017,4,22600,11578,11022,84,2972,4644,5651,5369,3880,44,1009,2393,2960,2773,2399,40,1963,2251,2691,2596,1481
관악구,2018,1,22600,11578,11022,84,2972,4644,5651,5369,3880,44,1009,2393,2960,2773,2399,40,1963,2251,2691,2596,1481
관악구,2018,2,22999,11689,11310,45,2870,4742,5600,5524,4218,19,981,2417,2957,2811,2504,26,1889,2325,2643,2713,1714
관악구,2018,3,22999,11689,11310,45,2870,4742,5600,5524,4218,19,981,2417,2957,2811,2504,26,1889,2325,2643,2713,1714
관악구,2018,4,22999,11689,11310,45,2870,4742,5600,5524,4218,19,981,2417,2957,2811,2504,26,1889,2325,2643,2713,1714
관악구,2019,1,30135,15380,14755,141,4879,6237,7133,6880,4865,54,2002,3368,3794,3366,2796,87,2877,2869,3339,3514,2069
관악구,2019,2,30583,17247,13336,61,4849,7442,7551,6612,4068,27,1931,4272,4601,3794,2622,34,2918,3170,2950,2818,1446
관악구,2019,3,30583,17247,13336,61,4849,7442,7551,6612,4068,27,1931,4272,4601,3794,2622,34,2918,3170,2950,2818,1446
관악구,2019,4,26541,16048,10493,66,3931,6494,6739,5805,3506,28,1821,4052,4286,3473,2388,38,2110,2442,2453,2332,1118
광진구,2015,1,25814,14401,11413,155,4096,6703,6341,5276,3243,79,1473,3721,3773,3097,2258,76,2623,2982,2568,2179,985
광진구,2015,2,26077,14370,11707,98,3905,6602,6481,5271,3720,53,1369,3612,3841,2995,2500,45,2536,2990,2640,2276,1220
광진구,2015,3,26077,14370,11707,98,3905,6602,6481,5271,3720,53,1369,3612,3841,2995,2500,45,2536,2990,2640,2276,1220
광진구,2015,4,26487,14397,12090,128,4129,6500,6554,5408,3768,73,1489,3537,3768,3033,2497,55,2640,2963,2786,2375,1271
광진구,2016,1,26487,14397,12090,128,4129,6500,6554,5408,3768,73,1489,3537,3768,3033,2497,55,2640,2963,2786,2375,1271
광진구,2016,2,27405,14691,12714,107,4280,6785,6800,5607,3826,58,1494,3541,3903,3141,2554,49,2786,3244,2897,2466,1272
광진구,2016,3,27405,14691,12714,107,4280,6785,6800,5607,3826,58,1494,3541,3903,3141,2554,49,2786,3244,2897,2466,1272
광진구,2016,4,27140,14494,12646,143,4474,6753,6632,5446,3692,69,1583,3565,3771,3021,2485,74,2891,3188,2861,2425,1207
광진구,2017,1,27140,14494,12646,143,4474,6753,6632,5446,3692,69,1583,3565,3771,3021,2485,74,2891,3188,2861,2425,1207
광진구,2017,2,27407,14496,12911,100,4291,6661,6611,5670,4074,52,1501,3426,3790,3075,2652,48,2790,3235,2821,2595,1422
광진구,2017,3,27407,14496,12911,100,4291,6661,6611,5670,4074,52,1501,3426,3790,3075,2652,48,2790,3235,2821,2595,1422
광진구,2017,4,27446,14365,13081,133,4489,6655,6553,5599,4017,67,1627,3451,3670,2953,2597,66,2862,3204,2883,2646,1420
광진구,2018,1,27446,14365,13081,133,4489,6655,6553,5599,4017,67,1627,3451,3670,2953,2597,66,2862,3204,2883,2646,1420
광진구,2018,2,27778,14579,13199,96,4428,6517,6505,5771,4461,50,1611,3350,3634,3086,2848,46,2817,3167,2871,2685,1613
광진구,2018,3,27778,14579,13199,96,4428,6517,6505,5771,4461,50,1611,3350,3634,3086,2848,46,2817,3167,2871,2685,1613
광진구,2018,4,27778,14579,13199,96,4428,6517,6505,5771,4461,50,1611,3350,3634,3086,2848,46,2817,3167,2871,2685,1613
광진구,2019,1,27691,14308,13383,124,4719,6091,6548,5814,4395,57,1837,3370,3597,2895,2552,67,2882,2721,2951,2919,1843
광진구,2019,2,21333,13344,7989,54,3148,4603,5521,4657,3350,32,1604,2895,3448,2938,2427,22,1544,1708,2073,1719,923
