,시군구명,기준년코드,기준분기코드,점포수
239,동작구,2019,4,407
240,마포구,2015,1,492
241,마포구,2015,2,492
242,마포구,2015,3,495
243,마포구,2015,4,490
244,마포구,2016,1,496
245,마포구,2016,2,502
246,마포구,2016,3,502
247,마포구,2016,4,510
248,마포구,2017,1,502
249,마포구,2017,2,519
250,마포구,2017,3,527
251,마포구,2017,4,533
252,마포구,2018,1,533
253,마포구,2018,2,526
254,마포구,2018,3,529
255,마포구,2018,4,531
256,마포구,2019,1,531
257,마포구,2019,2,534
258,마포구,2019,3,551
259,마포구,2019,4,539
260,서대문구,2015,1,204
261,서대문구,2015,2,198
262,서대문구,2015,3,202
263,서대문구,2015,4,206
264,서대문구,2016,1,207
265,서대문구,2016,2,205
266,서대문구,2016,3,208
267,서대문구,2016,4,210
268,서대문구,2017,1,213
269,서대문구,2017,2,210
270,서대문구,2017,3,206
271,서대문구,2017,4,208
272,서대문구,2018,1,205
273,서대문구,2018,2,209
274,서대문구,2018,3,212
275,서대문구,2018,4,212
276,서대문구,2019,1,213
277,서대문구,2019,2,209
278,서대문구,2019,3,213
279,서대문구,2019,4,211
280,서초구,2015,1,754
281,서초구,2015,2,766
282,서초구,2015,3,769
283,서초구,2015,4,778
284,서초구,2016,1,787
285,서초구,2016,2,794
286,서초구,2016,3,803
287,서초구,2016,4,811
288,서초구,2017,1,806
289,서초구,2017,2,817
290,서초구,2017,3,825
291,서초구,2017,4,835
292,서초구,2018,1,831
293,서초구,2018,2,831
294,서초구,2018,3,832
295,서초구,2018,4,841
296,서초구,2019,1,842
297,서초구,2019,2,850
298,서초구,2019,3,854
299,서초구,2019,4,837
300,성동구,2015,1,200
301,성동구,2015,2,200
302,성동구,2015,3,198
303,성동구,2015,4,194
304,성동구,2016,1,193
305,성동구,2016,2,197
306,성동구,2016,3,193
307,성동구,2016,4,192
308,성동구,2017,1,196
309,성동구,2017,2,195
310,성동구,2017,3,202
311,성동구,2017,4,209
