기준년코드,기준분기코드,상권코드,총유동인구수,남성유동인구수,여성유동인구수,연령대10유동인구수,연령대20유동인구수,연령대30유동인구수,연령대40유동인구수,연령대50유동인구수,연령대60이상유동인구수,월요일유동인구수,화요일유동인구수,수요일유동인구수,목요일유동인구수,금요일유동인구수,토요일유동인구수,일요일유동인구수
2015,1,1000043,346483,180280,166203,14996,46252,81910,89222,73339,40758,62992,62459,55647,52068,45010,37228,31082
2015,1,1000044,57154,32641,24513,365,7607,17432,16526,10411,4814,11435,11547,9941,9311,8202,4173,2549
2015,1,1000045,46588,27336,19252,634,7000,12926,13257,9074,3696,9121,9157,7913,7537,6781,3695,2385
2015,1,1000046,278357,177321,101036,3804,43986,76804,73040,54096,26627,57587,56479,48371,45870,40395,18796,10861
2015,1,1000047,226150,135031,91119,3065,44197,61150,56826,40995,19917,44256,44531,38508,36170,31539,17849,13297
2015,1,1000048,140889,79051,61838,834,16738,40132,42254,27761,13166,28174,28367,24319,22964,20586,10706,5773
2015,1,1000049,251651,138507,113144,5575,35103,59510,61733,57252,32487,46729,46702,40805,37764,33390,26764,19499
2015,1,1000050,9835,6630,3205,22,299,2898,3863,2288,464,2031,2080,1740,1643,1323,631,388
2015,1,1000051,72796,41511,31285,293,14231,19616,17288,14510,6857,12193,12390,10964,10614,9910,9380,7350
2015,1,1000052,102084,59191,42893,458,21721,27069,22183,18785,11869,16221,16489,14902,14714,14163,14132,11462
2015,1,1000053,131526,74097,57429,785,30090,35488,28574,23140,13450,20771,21095,19209,18815,18381,18613,14642
2015,1,1000054,107596,59541,48055,547,24022,30039,24124,19395,9467,17435,17787,16187,15824,15400,14150,10815
2015,1,1000055,71391,38596,32795,153,10009,21654,18576,14199,6794,13274,13318,11565,10953,9712,7015,5553
2015,1,1000056,231296,128282,103014,8414,41100,59960,57949,42648,21231,42071,41823,36940,34719,31605,22652,21483
2015,1,1000057,459071,244587,214484,16669,75418,125929,114852,81542,44660,86468,85241,75247,70640,61146,43941,36394
2015,1,1000058,82019,52999,29020,728,11520,26141,23102,14769,5759,16587,16321,14084,13114,11547,6351,4017
2015,1,1000059,122331,72411,49920,3190,11080,33612,39708,26240,8507,21926,22968,20123,19104,16111,12186,9916
2015,1,1000060,315587,166137,149450,5200,52976,86367,76865,61754,32422,53335,54198,49734,47175,42852,36492,31804
2015,1,1000061,186578,99431,87147,6955,31161,47753,45573,36640,18498,31101,32785,28102,26922,24749,21757,21164
2015,1,1000062,260063,132153,127910,5340,47254,73489,61998,48689,23292,46269,45917,40442,38779,32922,28557,27180
2015,1,1000063,163266,87685,75581,1119,33513,48215,37623,29778,13020,28180,28275,25039,24181,21752,19090,16749
2015,1,1000064,223234,109583,113651,6167,38362,58866,54328,45511,20004,40692,40099,34620,33113,27313,23955,23444
2015,1,1000065,129119,81536,47583,2253,9908,39234,41412,26750,9568,25804,24932,21502,20303,17927,10494,8158
2015,1,1000066,135800,79395,56405,2454,14086,39114,39393,26714,14039,26516,25778,22166,20786,18360,12019,10177
2015,1,1000067,229124,132304,96820,4387,26184,67557,63988,44654,22353,44669,43400,38031,35488,30693,20608,16238
2015,1,1000068,202695,117106,85589,4897,33577,54275,51307,38447,20198,38316,38463,33450,31655,28365,18500,13949
2015,1,1000069,137535,89065,48470,926,9716,43354,44913,29123,9500,27702,27239,23811,22261,18409,10674,7438
2015,1,1000070,193894,112524,81370,640,44154,55102,42214,33115,18668,31054,31392,28146,27735,27048,26965,21556
2015,1,1000071,181885,102566,79319,91,32671,57639,44328,32158,14998,32174,33098,29532,28095,25425,18601,14964
2015,1,1000072,305770,154685,151085,14207,42484,72772,77648,63016,35638,53539,53511,47426,45606,39700,34429,31556
2015,1,1000073,436682,207011,229671,23027,123591,99769,88304,67236,34752,80204,81373,72391,66517,58108,40738,37351
2015,1,1000074,128191,66270,61921,5238,30635,32355,29056,21320,9584,23779,24002,20806,19481,17408,12060,10654
2015,1,1000075,355806,197186,158620,17029,58443,85966,88487,66930,38955,62946,63159,56536,53420,47018,37704,35026
2015,1,1000076,164444,91132,73312,4256,26371,37376,46371,36050,14020,28512,28901,25830,24644,22845,18474,15237
2015,1,1000077,325705,176564,149141,16616,45732,83606,83856,61046,34846,58805,58656,51766,48589,43139,32864,31886
2015,1,1000078,157748,92441,65307,2022,25125,44774,40824,30345,14657,28195,28278,24869,23946,22416,17016,13026
2015,1,1000079,378002,224107,153895,8637,65273,104968,91541,66546,41036,69470,68913,61109,58169,54219,38142,27979
2015,1,1000080,221128,131599,89529,4159,36392,62600,55581,40628,21772,40293,39879,35487,33835,31137,23047,17449
2015,1,1000081,318033,175410,142623,11126,62039,82580,73317,55167,33801,57658,58434,51226,48781,45465,32633,23837
2015,1,1000082,192870,113371,79499,2130,26922,53910,51808,38433,19667,34648,34859,30683,29222,26892,20511,16049
2015,1,1000083,150219,81665,68554,5433,33158,36608,33362,25787,15869,27515,27763,24552,23040,21589,14402,11357
2015,1,1000084,92828,50469,42359,138,13707,26882,23580,18383,10137,17235,17381,15470,14598,12623,8694,6828
2015,1,1000085,97130,50847,46283,1581,15017,29664,24035,18579,8256,17211,17749,15531,14573,12982,10487,8594
2015,1,1000086,139734,73467,66267,1739,9000,44346,43967,30764,9920,27874,26861,23302,21924,18005,12210,9566
2015,1,1000087,179729,91008,88721,11197,26356,44119,45494,34115,18447,28928,32702,27158,25171,22273,22073,21421
2015,1,1000088,675553,333726,341827,47389,144764,149571,140881,118770,74177,118123,117715,104070,99463,90366,79095,66720
2015,1,1000089,126877,58260,68617,5447,14244,32153,30181,27131,17719,22162,21874,19277,18274,16114,15123,14054
2015,1,1000090,237338,113280,124058,9535,26340,57114,61192,56304,26850,43595,42845,37438,35278,29358,26113,22715
2015,1,1000091,160625,93864,66761,5115,17463,37712,43082,42004,15253,29468,29306,25545,24164,21070,17052,14021
2015,1,1000092,190530,118361,72169,3768,25710,52773,52048,39866,16368,38032,37521,32366,30040,27062,14816,10692
2015,1,1000093,137232,77872,59360,2440,19594,31580,35562,32859,15198,25681,25491,22169,20792,18277,14634,10193
2015,1,1000094,142248,82923,59325,2840,15240,27133,32628,36463,27944,26699,26417,23786,21965,18751,14469,10160
2015,1,1000095,133080,80252,52828,2668,10672,25322,33130,36023,25266,25352,25012,21927,20290,16900,13174,10424
2015,1,1000096,959130,479441,479689,59740,226256,206221,191904,164413,110595,167409,167943,146871,140691,131991,116617,87610
2015,1,1000097,46848,22910,23938,580,4889,12598,11985,10777,6020,8409,8259,7320,7024,6064,5284,4487
2015,1,1000098,151518,71437,80081,5342,15239,36919,41403,38060,14554,28368,27985,24061,22624,18316,16367,13802
2015,1,1000099,338395,180192,158203,10185,53381,78974,85475,75864,34523,61765,61289,52911,50080,45177,37495,29680
2015,1,1000100,195459,98397,97062,7408,32153,43689,47772,42285,22155,34902,34947,30718,29009,25728,21964,18196
2015,1,1000101,140497,66682,73815,8732,20172,32217,35734,28703,14938,24804,24710,21738,20509,18267,16355,14114
2015,1,1000102,170401,100734,69667,8844,54560,35391,34613,27068,9920,33641,32902,28366,27250,22839,14414,10993
2015,1,1000103,145662,85626,60036,4122,22411,39443,36869,29971,12847,28243,27537,24026,22408,19793,13266,10390
2015,1,1000104,222172,137334,84838,3898,31556,60318,58628,48748,19017,45192,44200,38626,35093,30512,17215,11338
2015,1,1000105,113875,66616,47259,2293,16867,31923,29688,24210,8897,22460,21743,19067,17687,15104,10000,7820
2015,1,1000106,355320,208647,146673,10557,42477,84891,87230,87761,42405,63055,63238,55896,52835,46359,40708,33228
2015,1,1000107,153623,89934,63689,3417,16076,38915,44340,38816,12061,28090,28237,24640,23396,20080,15981,13195
2015,1,1000108,104035,67423,36612,496,16364,30207,27785,22159,7028,21698,21273,18266,16843,14963,7206,3788
2015,1,1000109,123817,80805,43012,689,18660,35786,33564,26051,9070,26048,25542,22062,20240,17906,8055,3968
2015,1,1000110,326602,206640,119962,5226,46908,91213,86661,67694,28895,66932,65889,57072,52842,46859,22773,14231
2015,1,1000111,213495,118061,95434,4806,45709,53445,48670,43060,17804,38524,37702,32499,30874,27729,24102,22065
2015,1,1000112,421506,242623,178883,6691,82455,110067,102387,86183,33720,79612,77720,67945,63719,55146,41492,35868
2015,1,1000113,109658,72030,37628,505,14885,31968,30842,23162,8294,23319,22752,19471,17927,15785,6638,3768
2015,1,1000114,142004,92132,49872,444,21602,42803,40352,27925,8878,30486,29618,25248,23466,20632,7904,4651
2015,1,1000115,120592,77259,43333,979,15995,33094,32856,26957,10709,24474,24035,20736,19250,16593,9110,6394
2015,1,1000116,186291,110730,75561,4970,28959,50925,47342,38191,15906,36745,35872,30744,28842,25836,15962,12292
2015,1,1000117,148968,68390,80578,11490,24612,32695,35987,28137,16050,26082,25931,22783,21631,19423,17767,15358
2015,1,1000118,416635,216389,200246,14649,63039,95085,103275,91989,48598,75412,75084,65499,62124,55637,45737,37141
2015,1,1000119,390400,197633,192767,13313,69692,89293,89061,80742,48298,70079,70421,61814,58139,52644,43568,33742
2015,1,1000120,499856,299315,200541,15668,70697,131805,126763,105592,49337,97917,95945,83535,77707,69125,43416,32216
2015,1,1000121,525749,296014,229735,18859,67081,115544,131361,121487,71416,96346,95152,84197,79370,70214,54502,45966
2015,1,1000122,171527,96436,75091,5276,23076,40516,45283,39928,17447,31331,30803,27241,25718,22489,18066,15878
2015,1,1000123,142880,68985,73895,3945,16362,34527,33068,31364,23613,25222,24836,22033,21035,18926,16525,14305
2015,1,1000124,510938,298571,212367,12306,63756,120300,129401,119284,65894,96657,95467,83246,78310,68382,51351,37525
2015,1,1000125,234069,118423,115646,3783,30992,63575,58605,47885,29230,42149,42331,37267,35563,31398,25403,19959
2015,1,1000126,133492,66407,67085,1904,15925,36553,34756,28182,16173,23899,23759,20930,19956,17682,14770,12496
2015,1,1000127,381294,223109,158185,8583,77033,100744,91333,71406,32198,72892,71453,61582,58601,52674,34728,29363
2015,1,1000128,79706,48450,31256,3792,32157,16778,13658,10164,3155,15106,14550,12429,11922,10186,8652,6862
2015,1,1000129,179140,89680,89460,11681,24443,45110,43746,36996,17165,32299,31563,27463,26296,23550,19986,17986
2015,1,1000130,242063,125250,116813,15883,33131,62354,59411,46633,24648,44951,44277,38020,36594,33000,24059,21163
2015,1,1000131,157632,75227,82405,10222,20458,40264,40964,34229,11501,29792,29488,25372,23804,19325,15970,13880
2015,1,1000132,255602,118538,137064,25250,42969,55085,65573,46895,19826,44896,44231,39019,36704,33433,30803,26510
2015,1,1000133,313369,154566,158803,19514,38360,67429,76237,77125,34710,56439,55115,48814,46093,40427,35282,31205
2015,1,1000134,242971,121531,121440,11327,29841,53158,62017,59943,26684,44334,43301,37758,35341,30705,27060,24467
2015,1,1000135,266871,143154,123717,8834,32415,67886,68058,63760,25913,48639,47664,41713,39382,34293,29371,25808
2015,1,1000136,317539,156271,161268,20004,40571,66948,77106,76314,36596,56406,54823,48426,45661,40584,37325,34311
2015,1,1000137,335202,175040,160162,12087,114949,77450,55264,50952,24502,56698,55618,49285,47840,43523,42814,39427
2015,1,1000138,173659,96866,76793,6356,52613,39480,32053,28652,14507,30358,30143,26440,25234,22505,20801,18180
2015,1,1000139,184050,90089,93961,6710,29828,48717,43115,37997,17688,32664,32215,27992,26983,23981,21352,18864
2015,1,1000140,204899,102752,102147,7730,35034,49193,46720,45908,20319,36858,36278,31602,29550,25638,24338,20626
2015,1,1000141,140677,68961,71716,5920,21804,35680,34555,31124,11595,25674,25196,22209,21053,17837,15346,13363
2015,1,1000142,250160,138503,111657,7357,54189,61282,53646,50024,23660,44298,43913,38553,37019,33717,29005,23654
2015,1,1000143,325601,182857,142744,10242,87783,81585,65761,55946,24282,58503,57666,51147,48639,43535,36484,29625
2015,1,1000144,272000,141906,130094,10267,56152,65115,58322,54940,27208,47889,47476,41114,39320,36092,32781,27334
2015,1,1000145,51476,28876,22600,1262,6935,12636,12489,12670,5482,9190,9257,7809,7424,6661,6066,5073
2015,1,1000146,274087,133951,140136,17050,37982,66341,67499,59425,25793,48103,47095,41766,39909,35498,32336,29382
2015,1,1000147,198417,97711,100706,11457,26338,49956,50756,43346,16557,35692,35215,30717,29314,25311,22520,19641
2015,1,1000148,271072,135930,135142,18844,49050,63965,61424,51877,25918,48267,47350,41357,39508,35480,31400,27710
2015,1,1000149,249903,139891,110012,10325,31671,55158,59445,59730,33567,45100,44486,38391,36684,32426,27769,25048
2015,1,1000150,279461,141455,138006,8742,33619,67285,73068,69518,27226,49495,48596,42903,40719,35983,31587,30177
2015,1,1000151,209240,107003,102237,11228,45589,47885,44694,40624,19212,36356,35472,31468,30357,27543,25813,22228
2015,1,1000152,258312,128295,130017,12944,43799,60815,58454,52955,29344,46849,45814,40119,38109,34655,28097,24666
2015,1,1000153,156631,77500,79131,8766,25870,36082,37618,32146,16145,27853,27404,24580,23094,20248,17938,15513
2015,1,1000154,107300,48841,58459,10979,13555,23772,29578,21223,8192,19727,19471,16632,15561,13911,11760,10241
2015,1,1000155,59209,31920,27289,1024,6421,15010,18149,14291,4317,11244,10956,9363,8969,7990,6034,4655
2015,1,1000156,209503,101892,107611,10133,20375,46526,55961,57392,19123,38822,37225,33104,31055,26265,23191,19848
2015,1,1000157,198989,94399,104590,9109,27149,48210,47600,46099,20821,35435,34590,30745,29178,25631,22966,20449
2015,1,1000158,478882,243693,235189,24111,83630,112851,109472,97958,50859,85577,83733,73192,69889,63389,54821,48282
2015,1,1000159,126382,64663,61719,3847,22749,30591,29352,27197,12649,22673,22144,19108,18331,17145,14620,12363
2015,1,1000160,248039,120216,127823,15336,36193,59215,60647,52880,23767,45320,44497,39384,37257,31913,26593,23079
2015,1,1000161,118196,57948,60248,5573,13846,26844,29527,28308,14095,20640,20299,17835,16801,15057,14205,13358
2015,1,1000162,194864,93967,100897,10446,23501,44226,47957,45123,23607,34193,33549,29259,27768,24354,22941,22790
2015,1,1000163,155938,72869,83069,9880,19968,33814,36905,36089,19282,26740,26349,23354,22356,19824,18929,18385
2015,1,1000164,381430,184754,196676,24104,65732,90314,88437,77787,35068,66166,65508,58346,55648,49941,45309,40518
2015,1,1000165,389425,200340,189085,11465,59690,94664,91388,87502,44715,70311,69870,60960,58228,51292,42641,36122
2015,1,1000166,212040,102022,110018,12817,26290,44937,49674,50670,27652,37340,36562,32581,30925,27109,24793,22736
2015,1,1000167,265702,129479,136223,18096,35185,59692,62798,56825,33103,45634,45269,40138,38067,33578,31682,31335
2015,1,1000168,55051,28910,26141,2391,15013,12174,10192,9089,6196,10478,10202,8789,8374,6830,5392,4995
2015,1,1000169,241551,121807,119744,12767,62924,51625,44819,40120,29297,43923,43105,37414,36226,31365,25518,24004
2015,1,1000170,94417,58683,35734,657,11107,22704,24254,22625,13069,18511,17738,15553,14438,12954,8598,6623
2015,1,1000171,187946,91498,96448,13764,30730,39589,41548,37071,25241,32748,32321,28893,27428,23997,21879,20684
2015,1,1000172,236261,106636,129625,9633,24770,54076,62867,58822,26098,42721,41582,36777,34513,29130,27165,24375
2015,1,1000173,80765,43247,37518,1965,9043,18522,20647,19765,10821,14542,14131,12562,11841,10364,9285,8040
2015,1,1000174,87751,45225,42526,4434,9383,20996,23030,20556,9351,15932,15543,13841,12977,10981,9965,8509
2015,1,1000175,365055,195594,169461,12161,44264,90648,91382,82947,43649,64839,64014,56742,53620,47508,42091,36244
2015,1,1000176,156660,82665,73995,4372,18298,42444,39990,35645,15912,28006,27937,24646,23304,20662,17615,14495
2015,1,1000177,203040,102889,100151,13120,24169,47747,50689,43973,23348,36174,35389,31030,29538,26786,23509,20620
2015,1,1000178,267783,141719,126064,10603,34094,70181,65435,57620,29853,46930,47044,41815,39629,35157,30502,26706
2015,1,1000179,125118,65638,59480,5662,27089,24947,25476,25303,16637,22975,22515,19343,18398,15392,13416,13081
2015,1,1000180,160939,83753,77186,6834,32725,33492,34159,32854,20878,29469,28689,24821,23723,19964,17043,17230
2015,1,1000181,54733,28310,26423,2458,11452,11634,11540,10733,6914,9732,9496,8295,7905,6927,6181,6196
2015,1,1000182,110603,68327,42276,607,9854,28920,33560,28207,9460,23022,22177,18892,17706,15006,8380,5419
2015,1,1000183,168446,101676,66770,2887,37061,41845,40281,33884,12490,33052,32356,27729,26036,23037,15328,10905
2015,1,1000184,425150,196199,228951,37842,58049,93127,98747,83144,54239,74367,73086,65376,62508,54586,48827,46398
2015,1,1000185,178193,92029,86164,10624,18814,40709,46579,42070,19398,32576,31615,27697,25633,22646,20080,17943
2015,1,1000186,162258,88526,73732,3340,20117,40131,42413,38973,17282,29802,29112,25374,23806,21466,17855,14845
2015,1,1000187,62210,30404,31806,4371,12308,13810,14324,11858,5542,11286,11164,9712,9094,7814,6741,6411
2015,1,1000188,368337,196059,172278,18460,90132,74486,73800,69194,42269,66616,66483,58479,54579,44784,39484,37911
2015,1,1000189,154215,79833,74382,3807,21454,37474,38815,35676,16994,27735,27158,24261,22745,20033,17551,14735
2015,1,1000190,413232,210138,203094,10562,48116,84605,91024,97915,81019,72974,71847,63961,59898,54440,48536,41579
2015,1,1000191,112254,62690,49564,2380,15436,25244,26571,26423,16201,20631,20268,17699,16617,14753,12430,9849
2015,1,1000192,206720,106461,100259,4906,26313,43814,46211,48969,36510,36584,36452,32154,29844,26990,24227,20471
2015,1,1000193,585735,291168,294567,31369,98191,113310,124513,123369,94977,101146,100214,88824,84611,76677,68771,65493
2015,1,1000194,222282,106619,115663,12487,36642,47510,53360,46145,26137,38976,37986,34144,32779,27680,25802,24915
2015,1,1000195,154478,86883,67595,3002,18000,42571,39047,35086,16768,27810,27746,24722,23196,20392,16899,13711
2015,1,1000196,97383,49953,47430,4051,11595,24549,25186,21900,10100,17633,17278,15116,14169,12630,11065,9495
2015,1,1000197,79300,42162,37138,2551,10192,21518,19552,17235,8250,13927,13962,12368,11722,10342,9192,7783
2015,1,1000198,484589,249754,234835,25520,60152,123231,118250,102086,55349,84066,84206,74370,70603,63461,57166,50717
2015,1,1000199,114012,57713,56299,6238,13560,27693,29186,25564,11770,20569,20080,17540,16549,14614,13179,11482
2015,1,1000200,138346,70242,68104,6281,15558,34375,36357,31562,14213,25050,24420,21313,19746,17538,16058,14222
2015,1,1000201,295533,178569,116964,5798,31644,70250,77395,73111,37334,56108,54297,47569,44826,41249,29302,22179
2015,1,1000202,162531,102386,60145,1964,17285,38123,42348,41863,20951,31528,30527,27313,25127,21750,15316,10969
2015,1,1000203,223560,109780,113780,17066,44770,47514,48942,41934,23332,40047,39287,34509,32793,28159,25003,23758
2015,1,1000204,169506,83183,86323,6810,18538,41326,43868,40953,18011,30268,29492,25863,24445,22126,19917,17396
2015,1,1000205,167901,96765,71136,3925,17711,38774,43704,42014,21769,31792,30711,26892,25355,22621,16971,13561
2015,1,1000206,298546,157032,141514,6039,37378,68483,70001,71536,45107,55398,54295,47855,44871,38017,31237,26881
2015,1,1000207,385898,219770,166128,15626,112020,79726,71937,65706,40889,73266,71876,64839,59003,50785,35565,30569
2015,1,1000208,109279,56532,52747,6009,46242,20906,18120,13620,4381,21401,21290,18236,18571,12964,9151,7664
2015,1,1000209,81331,52561,28770,138,8808,21805,23515,19616,7449,17172,16374,13825,12878,11382,6070,3633
2015,1,1000210,277957,165351,112606,1200,36664,72411,71872,66351,29457,55319,53970,46704,43732,37472,25393,15366
2015,1,1000211,295217,157971,137246,9291,40251,63976,68893,68134,44670,52363,51818,45886,42946,38500,34770,28939
2015,1,1000212,179467,112852,66615,1174,19479,43982,47453,45296,22084,35042,33854,29559,27413,25632,16490,11481
2015,1,1000213,170902,107833,63069,1812,17428,44768,45841,41912,19143,32946,32213,28230,26289,23247,16402,11576
2015,1,1000214,380411,212305,168106,8221,42087,91514,96710,92485,49396,69182,67838,60654,57100,50086,41289,34264
2015,1,1000215,129676,65714,63962,8534,13729,30087,33299,29329,14699,23186,22730,20326,19309,16862,14637,12625
2015,1,1000216,243118,124910,118208,13257,27062,56993,62551,56588,26671,44019,43076,37941,35363,31548,27195,23977
2015,1,1000217,280043,140487,139556,21352,27264,63432,73216,64727,30050,50818,49592,43469,40989,35845,31224,28105
2015,1,1000218,133437,64597,68840,5778,29941,28827,29226,24973,14695,23563,23161,20012,19104,16615,15622,15366
2015,1,1000219,307269,155497,151772,9339,49818,69729,74247,68428,35707,54110,53180,45799,43693,39062,36697,34725
2015,1,1000220,263814,136577,127237,20890,99237,48287,42877,33141,19384,46621,46666,40548,39089,33930,28471,28492
2015,1,1000221,681581,338287,343294,46813,203674,140929,126565,102931,60670,120209,119388,103877,99896,87527,77353,73336
2015,1,1000222,338738,173004,165734,12405,50423,70312,78356,81642,45609,60337,59521,52408,49515,44055,39267,33633
2015,1,1000223,387843,194400,193443,16435,52919,79357,91446,95962,51724,67024,66296,58929,56270,49563,47057,42706
2015,1,1000224,295949,144263,151686,19835,41422,57540,69813,71505,35833,51408,50843,45072,43041,36870,35235,33478
2015,1,1000225,92135,44726,47409,3894,12065,20466,23889,23121,8701,16916,16348,14045,12780,11553,10566,9925
2015,1,1000226,413341,203198,210143,14696,62393,94853,92780,92977,55645,73435,71560,63662,60165,51865,49640,43017
2015,1,1000227,180105,94020,86085,7785,18894,39672,46067,45094,22595,31644,31125,27611,26200,22706,21161,19662
2015,1,1000228,303150,155840,147310,9531,39301,70781,76923,76491,30125,54879,53445,46917,44414,38322,35162,30014
2015,1,1000229,257771,128711,129060,11932,30183,60294,66007,65533,23820,46154,45134,39586,38106,32057,30197,26544
2015,1,1000230,481273,241761,239512,14896,80806,113611,111521,109238,51214,82703,81365,71632,68018,62019,61901,53637
2015,1,1000231,357827,179916,177911,19528,49622,74637,82153,86836,45054,63312,61945,54803,51972,46066,41329,38404
2015,1,1000232,273910,131397,142513,15994,38727,63117,62350,63893,29828,47883,46379,41669,39647,34927,32728,30677
2015,1,1000233,409302,203391,205911,24653,54332,88180,91778,95433,54930,71386,69997,62525,59742,52797,48615,44244
2015,1,1000234,274590,137807,136783,14928,34756,60343,64697,66850,33016,47317,46750,41648,39905,35044,33178,30748
2015,1,1000235,125571,61880,63691,7287,19199,26299,27650,29068,16074,22051,21641,19201,18211,16222,14893,13353
2015,1,1000236,100451,48807,51644,4528,12038,23767,23875,24596,11643,18067,17574,15483,14727,12673,11681,10241
2015,1,1000237,529558,256767,272791,23014,88444,118558,113772,114327,71443,92930,91252,79638,76332,71635,64193,53580
2015,1,1000238,234336,113930,120406,9250,31387,56776,55155,53441,28326,40968,39900,34439,33171,30488,29242,26125
2015,1,1000239,230642,114158,116484,9984,27094,47000,56498,61908,28157,40440,39388,34582,32486,29660,28175,25906
2015,1,1000240,148690,74573,74117,6666,15262,30631,35571,40332,20225,25823,25338,22168,20989,19205,17909,17253
