기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,당월매출금액,당월매출건수,주중매출비율,주말매출비율,월요일매출비율,화요일매출비율,수요일매출비율,목요일매출비율,금요일매출비율,토요일매출비율,일요일매출비율,시간대00~06매출비율,시간대06~11매출비율,시간대11~14매출비율,시간대14~17매출비율,시간대17~21매출비율,시간대21~24매출비율,남성매출비율,여성매출비율,연령대10매출비율,연령대20매출비율,연령대30매출비율,연령대40매출비율,연령대50매출비율,연령대60이상매출비율,주중매출금액,주말매출금액,월요일매출금액,화요일매출금액,수요일매출금액,목요일매출금액,금요일매출금액,토요일매출금액,일요일매출금액,시간대00~06매출금액,시간대06~11매출금액,시간대11~14매출금액,시간대14~17매출금액,시간대17~21매출금액,시간대21~24매출금액,남성매출금액,여성매출금액,연령대10매출금액,연령대20매출금액,연령대30매출금액,연령대40매출금액,연령대50매출금액,연령대60이상매출금액,주중매출건수,주말매출건수,월요일매출건수,화요일매출건수,수요일매출건수,목요일매출건수,금요일매출건수,토요일매출건수,일요일매출건수,시간대건수~06매출건수,시간대건수~11매출건수,시간대건수~14매출건수,시간대건수~17매출건수,시간대건수~21매출건수,시간대건수~24매출건수,남성매출건수,여성매출건수,연령대10매출건수,연령대20매출건수,연령대30매출건수,연령대40매출건수,연령대50매출건수,연령대60이상매출건수,점포수
2015,2,A,골목상권,1000597,양천로73가길,CS100010,커피-음료,142353640,18194,75,25,15,15,15,15,16,18,7,1,4,30,28,27,12,46,54,1,19,33,35,10,2,99749993,42603647,18650311,19894806,19324029,19119617,22761230,26409354,16194293,2152901,6073663,33685033,33341547,40642046,26458450,60229856,60138715,777712,21805919,37195694,41359617,15712203,3517425,13181,5013,2560,2652,2603,2549,2817,3306,1707,158,1040,4678,4610,5057,2651,7766,8543,146,3702,5416,4959,1703,384,5
2015,2,A,골목상권,1000446,응암로1길,CS100010,커피-음료,203496432,26447,61,39,11,13,12,12,13,19,20,0,5,20,28,31,16,41,59,1,32,37,18,8,3,125890252,77606180,25251351,23563640,26627689,24091525,26356047,37444989,40161191,53709,14238666,43380531,51543205,59829530,34450791,82368965,109422206,2754147,57868937,63826821,41479799,17711630,8149836,16709,9738,3438,3168,3452,3190,3461,4650,5088,2,2214,5689,6993,7658,3891,10412,14809,394,8383,8301,5140,2060,942,3
2015,2,A,골목상권,1000989,양재대로133길,CS100010,커피-음료,73731466,8863,63,37,13,13,13,12,13,16,21,0,6,25,28,30,12,48,52,2,34,34,17,11,3,45000287,28731179,8572246,8799323,9734709,8393358,9500651,11813449,16917730,84847,2833505,17845582,20882176,21577859,10507497,34746907,37106640,757225,22507491,24809757,11312746,8909915,3556414,5484,3379,1110,1197,1115,993,1069,1468,1911,2,407,2105,2540,2688,1121,4130,4543,123,3131,3059,1264,882,216,3
2015,2,A,골목상권,1000769,양녕로26길,CS100010,커피-음료,35461890,8090,66,34,14,13,13,13,14,16,18,0,9,23,31,28,9,36,64,1,43,33,14,7,2,23095557,12366333,4905531,4401306,4170757,4652970,4964993,5548683,6817650,0,2716241,7818193,11289834,9542344,4095278,12340407,23121483,335485,13617159,11830299,6405499,2381788,891660,5356,2734,1090,1036,1040,1045,1145,1293,1441,0,717,1900,2524,2197,752,2940,5150,89,3449,2741,1134,514,163,2
2015,2,D,발달상권,1001208,서울 중구 을지로3가역_2,CS100010,커피-음료,1089454621,141492,94,6,18,18,20,20,18,5,1,0,23,41,21,14,1,51,49,0,23,34,20,12,11,996142439,93312182,188377949,198773000,207131393,203650073,198210024,56012039,37300143,0,243669746,454048414,218203856,144291240,29241365,404359891,431031697,1458343,240883486,369023704,148389945,50475714,25160410,129934,11558,24614,26091,27158,26591,25480,7180,4378,0,43629,51662,26671,16440,3090,54738,64119,236,38523,52095,19591,5986,2430,26
2015,2,A,골목상권,1000227,답십리로75길,CS100010,커피-음료,13420942,2011,73,28,16,12,15,14,15,19,9,0,5,19,35,34,7,35,65,2,19,46,22,7,5,9582376,3838566,2176871,1585799,1924329,1883874,2011503,2647301,1191265,0,605265,2569529,4778418,4467820,999910,4673675,8454907,246571,2288231,6309704,2840425,859427,584225,1460,551,331,243,292,291,303,377,174,0,93,386,712,678,142,683,1279,45,371,901,432,127,86,1
2015,2,A,골목상권,1000590,방화대로6라길,CS100010,커피-음료,50477645,5677,78,22,16,15,16,14,17,13,9,0,4,35,27,22,12,56,44,1,29,42,21,6,2,40415772,10061873,8012148,7863043,8277553,7698819,8564209,5613425,4448448,0,1632797,21399154,12857133,9211835,5376726,23344549,20187332,318876,11475405,18657815,9893091,2430737,755956,4434,1243,932,848,887,804,963,722,521,0,224,2008,1503,1266,676,2774,2213,49,1457,2071,1034,285,92,1
2015,2,R,전통시장,1001267,종로신진시장,CS100010,커피-음료,117591612,17595,90,10,17,18,19,19,18,9,1,0,13,42,35,9,0,37,63,1,37,33,16,10,3,106495133,11096479,19111839,21849667,22544241,21791809,21197577,10472162,624317,0,11491184,52774736,40046943,12460440,818309,37288714,66089157,443285,33109539,36324162,18261316,11768197,3471373,15914,1681,2965,3143,3332,3266,3208,1592,89,0,2307,7429,6167,1621,71,5812,10032,82,5878,5172,2573,1645,493,8
2015,2,A,골목상권,1000497,월드컵로10길,CS100010,커피-음료,842367930,87764,72,28,14,15,13,15,15,16,12,0,10,26,27,29,9,39,61,0,33,42,18,6,2,563044370,279323560,97242463,115564841,107898627,112457001,129881438,140331161,138992399,0,57791758,194976037,221231103,279711579,88657453,304333475,450658970,5155602,231119523,295136596,141193627,61391425,20995678,58316,29448,11395,11570,10958,11668,12725,14568,14880,0,7308,19830,24375,27683,8568,31998,49324,595,27599,30737,14565,6017,1817,11
2015,2,A,골목상권,1000162,자양로50길,CS100010,커피-음료,14887107,1860,64,36,10,15,14,11,13,18,17,0,10,26,35,27,3,40,60,2,11,26,20,22,19,9214004,5673103,1926579,1864365,2110061,1644296,1668703,2408544,3264559,0,1481878,4255275,5145294,3458072,546588,4663141,9626688,161992,1584841,3736857,3143210,4041724,1621206,1133,727,254,236,218,197,228,365,362,0,175,496,590,491,108,753,1065,50,361,679,394,205,125,2
2015,2,D,발달상권,1001188,장충동 족발거리,CS100010,커피-음료,468088498,59130,79,21,15,16,15,17,17,11,10,0,11,43,21,19,6,46,54,3,43,28,16,8,3,332116172,135972326,60946866,63824472,66953245,73436293,66955296,69198063,66774263,0,40111162,150522344,115024928,120158431,42271633,185577861,242108580,13439928,173494248,107569890,70224063,46383528,16574794,42859,16271,7918,8253,8624,9580,8484,8143,8128,0,6786,18678,14325,14877,4464,23353,31934,1989,24808,13556,8231,5123,1584,7
2015,2,A,골목상권,1000069,이촌로22길,CS100010,커피-음료,63275970,5683,62,38,14,12,12,12,13,18,20,0,5,21,29,31,14,43,57,2,17,35,25,15,7,36614652,26661318,7959352,7050619,6816387,5955552,8832742,11541834,15119484,0,2274598,13354904,17905664,19962184,9778620,23543383,32701655,453140,8318312,17341678,14758417,9829596,5543898,3527,2156,779,682,678,659,729,1024,1132,0,302,1199,1623,1738,821,2115,2836,82,847,1746,1227,719,330,2
2015,2,D,발달상권,1001160,서울 광진구 구의역,CS100010,커피-음료,768337044,88442,80,20,14,16,17,16,17,11,9,0,15,31,23,23,9,45,55,1,32,33,18,11,5,529624924,238712120,100045031,104556918,102719146,103066252,119237577,120132394,118579726,11028189,33726443,143281822,172215567,244360485,163724538,322244101,385483419,19225052,240019514,211279542,146190908,67275595,23736910,62122,26320,12135,12338,12270,11715,13664,13550,12770,1262,6999,16649,19164,27483,16885,36152,47168,2365,31583,25135,14609,7360,2274,13
2015,2,A,골목상권,1000146,뚝섬로48길,CS100010,커피-음료,157539401,25249,65,35,13,13,13,12,14,17,18,0,4,21,28,30,17,44,56,3,35,29,19,11,3,99431471,58107930,19840091,19327029,19626219,18675629,21962503,27322634,30785296,67706,9955925,35282549,41105497,44665528,26462196,64787687,88329792,4848859,48528221,50056968,31008834,15073727,3600878,16250,8999,3252,3239,3169,3051,3539,4389,4610,4,1954,5726,6527,7221,3817,10489,14339,927,9034,7839,4500,2037,493,6
2015,2,D,발달상권,1001119,영등포역_2,CS100010,커피-음료,237911440,31245,67,33,14,14,12,13,14,17,16,0,6,19,24,31,21,49,51,1,34,22,16,15,12,181562406,56349034,41046200,33266661,33622888,32381370,41245287,29798902,26550132,100625,31200594,68065182,43610854,55418040,39516145,100906188,113800161,1241672,68348989,68297705,37016286,26274440,13527259,24715,6530,4875,5032,4772,4795,5241,3250,3280,10,6270,9108,6297,6645,2915,13206,16434,203,11124,11098,4765,1775,681,11
2015,2,A,골목상권,1000771,여의대방로22나길,CS100010,커피-음료,90741822,12848,73,27,13,16,14,13,17,12,15,0,11,31,28,26,4,39,61,2,42,34,15,6,1,72580386,18161436,13325252,14202685,14179167,14777508,16095774,8719059,9442377,0,9522449,34339519,24465730,18811857,3602267,33806805,45088174,758900,28652404,29591311,13590821,5003122,1298418,10782,2066,1978,2115,2226,2196,2267,1170,896,0,1929,4898,3321,2279,421,4758,6763,152,4483,4351,1676,740,118,4
2015,2,A,골목상권,1000710,선유로55길,CS100010,커피-음료,218790903,24289,75,25,14,15,15,15,16,13,12,0,12,31,26,22,9,42,58,1,34,41,18,5,2,153237067,65553836,29551974,31287826,28726246,29946672,33724349,33770958,31782878,27621,19459488,62206052,55000604,56117675,25979463,76342528,109302592,1327981,57565640,75755423,34899242,12546240,3550601,17004,7285,3384,3471,3194,3290,3665,3701,3584,5,2638,6803,6223,5926,2694,8921,12675,157,7278,8730,3790,1284,362,5
2015,2,A,골목상권,1000494,와우산로29가길,CS100010,커피-음료,1211675671,136165,64,36,13,12,13,12,14,21,16,2,4,18,29,35,13,37,63,3,55,26,10,5,1,742709355,468966316,142805174,151301308,138305364,141011866,169285643,263149442,205816874,45361400,53274898,161176394,304101285,426341454,221420240,394884824,705542798,30121399,615512960,284919382,101893947,60011660,7968275,87787,48378,16960,17969,16870,16473,19515,26823,21555,5883,9465,21360,33875,43912,21670,50686,78308,4483,70994,32274,13147,7195,907,21
2015,2,A,골목상권,1000455,통일로39길,CS100010,커피-음료,74424234,11572,83,17,15,17,18,17,16,12,5,0,11,30,30,27,3,44,56,1,34,25,25,12,4,50713496,23710738,9085236,10727870,9767564,11028178,10104648,13679446,10031292,0,6506862,18749870,21795372,23646421,3725709,22559186,51577109,1509056,33688214,19225071,11450575,6741067,1522314,7989,3583,1493,1543,1563,1841,1549,2127,1456,0,1176,2791,3426,3611,568,3654,7887,222,5592,2930,1706,871,222,4
2015,2,A,골목상권,1000882,효령로34길,CS100010,커피-음료,137117987,13754,73,27,13,15,15,14,16,17,10,0,10,34,25,25,6,44,56,2,27,27,24,15,6,100013086,37104901,18367024,18938008,19345218,20704148,22658688,22816537,14288364,4749751,9187139,42562723,33413033,34203953,13001388,53574439,57260041,3442348,26811626,26196890,28256182,18188765,7938667,9858,3896,1896,1990,1953,1918,2101,2217,1679,18,1279,4183,3719,3683,872,5491,6552,485,4019,2881,2419,1678,561,6
2015,2,D,발달상권,1001166,서울 마포구 마포역_2,CS100010,커피-음료,2097627551,327835,86,14,16,17,18,18,18,8,6,0,17,41,20,16,6,48,52,1,26,39,23,9,2,1688493817,409133734,310477432,330298787,342093326,344422340,361201932,229838297,179295437,8733098,273427031,761506903,437849450,420574228,195536841,840911200,864246021,14357617,411275698,644134380,410674924,168183632,56530975,260356,67479,50243,51918,52721,51406,54068,37321,30158,172,55905,113822,68540,64504,24892,135572,149479,2977,77547,109140,62928,24826,7637,29
