기준_년_코드,기준_분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,유사_업종_점포_수,개업_율,개업_점포_수,폐업_률,폐업_점포_수,프랜차이즈_점포_수
2015,3,D,발달상권,1001177,서울 중구 약수역_2,CS100010,커피-음료,1,4,0,0,25,1,3
2015,3,A,골목상권,1000603,화곡로13길,CS100010,커피-음료,5,6,17,1,17,1,1
2015,3,A,골목상권,1000522,목동로9길,CS100010,커피-음료,10,13,8,1,8,1,3
2015,3,A,골목상권,1000945,백제고분로31길,CS100010,커피-음료,6,7,0,0,0,0,1
2015,3,R,전통시장,1001332,사가정시장,CS100010,커피-음료,3,3,0,0,0,0,0
2015,3,A,골목상권,1000983,성내로5길,CS100010,커피-음료,10,12,17,2,17,2,2
2015,3,A,골목상권,1000965,오금로46길,CS100010,커피-음료,13,13,0,0,8,1,0
2015,3,D,발달상권,1001208,서울 중구 을지로3가역_2,CS100010,커피-음료,25,25,12,3,16,4,0
2015,3,A,골목상권,1000167,천호대로129길,CS100010,커피-음료,3,4,25,1,0,0,1
2015,3,A,골목상권,1000979,상암로4길,CS100010,커피-음료,9,9,11,1,0,0,0
2015,3,A,골목상권,1000497,월드컵로10길,CS100010,커피-음료,8,10,0,0,10,1,2
2015,3,A,골목상권,1000961,양재대로71길,CS100010,커피-음료,7,10,10,1,0,0,3
2015,3,A,골목상권,1000689,당산로37길,CS100010,커피-음료,6,10,30,3,10,1,4
2015,3,R,전통시장,1001485,고분다리골목시장,CS100010,커피-음료,1,1,0,0,100,1,0
2015,3,A,골목상권,1000470,동교로38길,CS100010,커피-음료,7,8,0,0,25,2,1
2015,3,A,골목상권,1000462,도화길,CS100010,커피-음료,2,5,20,1,0,0,3
2015,3,A,골목상권,1000417,응암로12길,CS100010,커피-음료,1,2,50,1,50,1,1
2015,3,A,골목상권,1000720,양평로22라길,CS100010,커피-음료,5,7,29,2,0,0,2
