기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2015,4,A,골목상권,1000773,여의대방로24길,CS300002,편의점,0,5,0,0,20,1,5
2015,4,A,골목상권,1000128,광나루로24길,CS300002,편의점,1,7,0,0,0,0,6
2015,4,A,골목상권,1000492,양화로1길,CS300002,편의점,1,5,20,1,0,0,4
2015,4,D,발달상권,1001245,서울 성북구 성신여대입구역,CS300002,편의점,2,14,7,1,0,0,12
2015,4,A,골목상권,1000112,송정4가길,CS300002,편의점,0,2,50,1,0,0,2
2015,4,A,골목상권,1000193,왕산로43길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,D,발달상권,1001069,은마아파트입구사거리_3,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000086,효창원로39길,CS300002,편의점,0,1,0,0,0,0,1
2015,4,A,골목상권,1000003,돈화문로11가길,CS300002,편의점,1,6,0,0,0,0,5
2015,4,A,골목상권,1000164,자양번영로3길,CS300002,편의점,1,3,0,0,0,0,2
2015,4,R,전통시장,1001478,방이시장,CS300002,편의점,1,7,29,2,29,2,6
2015,4,A,골목상권,1000761,상도로62길,CS300002,편의점,1,6,17,1,0,0,5
2015,4,D,발달상권,1001237,서울 종로구 경복궁역_2,CS300002,편의점,0,3,33,1,0,0,3
2015,4,A,골목상권,1000922,삼성로69길,CS300002,편의점,0,4,0,0,0,0,4
2015,4,R,전통시장,1001441,본동인정시장,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000726,영등포로25길,CS300002,편의점,2,6,0,0,0,0,4
2015,4,A,골목상권,1000539,오목로5길,CS300002,편의점,0,2,0,0,0,0,2
2015,4,A,골목상권,1000846,강남대로8길,CS300002,편의점,1,4,0,0,25,1,3
2015,4,A,골목상권,1000126,한림말길,CS300002,편의점,0,1,100,1,0,0,1
2015,4,A,골목상권,1000667,문성로5길,CS300002,편의점,0,3,0,0,0,0,3
2015,4,A,골목상권,1000927,선릉로146길,CS300002,편의점,0,6,0,0,0,0,6
