기준년코드,기준분기코드,상권구분코드,상권구분코드명,상권코드,상권코드명,서비스업종코드,서비스업종코드명,술집점포수,유사업종점포수,개업율,개업점포수,폐업률,폐업점포수,프랜차이즈점포수
2015,1,A,골목상권,1000743,동작대로7길,CS100009,호프-간이주점,28,29,7,2,10,3,1
2015,1,A,골목상권,1000698,대림로8길,CS100009,호프-간이주점,8,9,11,1,11,1,1
2015,1,A,골목상권,1000779,흑석로9길,CS100009,호프-간이주점,21,23,0,0,4,1,2
2015,1,A,골목상권,1000645,부일로11길,CS100009,호프-간이주점,1,1,0,0,0,0,0
2015,1,A,골목상권,1000908,도산대로38길,CS100009,호프-간이주점,2,2,0,0,50,1,0
2015,1,A,골목상권,1000279,삼선교로10다길,CS100009,호프-간이주점,2,2,0,0,0,0,0
2015,1,A,골목상권,1000815,신림동길,CS100009,호프-간이주점,20,22,0,0,5,1,2
2015,1,D,발달상권,1001149,한남오거리,CS100009,호프-간이주점,25,26,0,0,8,2,1
2015,1,A,골목상권,1000837,행운길,CS100009,호프-간이주점,12,12,0,0,0,0,0
2015,1,A,골목상권,1000823,신원로3길,CS100009,호프-간이주점,8,8,0,0,13,1,0
2015,1,A,골목상권,1000386,한글비석로22길,CS100009,호프-간이주점,28,32,0,0,13,4,4
